,articles
84," Hello and welcome back to Equity, TechCrunch’s venture capital-focused podcast, where we unpack the numbers behind the headlines. This week was good fun not only because we had the whole team together to record, but also because we are still basking in the endless glory of our winning a Webby earlier this week. Frankly we are still shocked. But happy-shocked, like when you get a new toy and it is covered in static electricity. Anyhoo, we had a packed show with much, much left on the floor as we tried to shoehorn the week into our time slot. Here’s what we got into: The show flew by, much like our days recently, simply because it was so fun and jam-packed with news. And we got to make jokes about our listeners and Monday.com PR timing, so what else could we ask for? Talk soon! Equity drops every Monday at 7:00 a.m. PST, Wednesday, and Friday morning at 7:00 a.m. PST, so subscribe to us on Apple Podcasts, Overcast, Spotify and all the casts. Somewhere Good just raised $3.75M to make your somewhere good "
85,"Apple last month unveiled its plans for paid podcast subscriptions in a newly redesigned Apple Podcasts app. Now, it’s introducing a new program that will help podcast creators grow their subscriber base: affiliate marketing. The company’s “Apple Services Performance Partner Program,” which already exists to help market other Apple services like Apple TV, Apple News and Apple Books, is today expanding to include paid podcasts. The new program — “Apple Services Performance Partner Program for Apple Podcasts” (whew!) — will be open to anyone, though the company believes it will make the most sense for publishers and creators who already have an audience and a number of marketing channels where they can share these new affiliate links. When users convert by clicking through one of the links and subscribe to a premium podcast, the partner will receive a one-time commission at 50% of the podcast subscription price, after the subscriber accumulates their first month of paid service. So, for example, if a paid podcast was charging subscribers $5 per month, the commission would be $2.50. This commission would apply for every new subscriber that signed up through the affiliate channel, and there’s no cap. Podcast creators can also use the affiliate links to promote their own paid programs, which would allow them to generate incremental revenue. Apple unveils podcast subscriptions and a redesigned Apple Podcasts app  While anyone can apply to join the affiliate program, there is an approval process involved. This is mainly about keeping spammers out of the program, and ensuring that those signing up do have at least some marketing channels where they can distribute the links. The sign-up form asks for specific criteria — like how many channels are available and how the partner intends to use them to promote the affiliate links, among other things. The program will be made available to anyone in the 170 countries and regions where paid podcasts subscriptions are being made available. Once approved and signed in, affiliate partners will gain access to an online dashboard where they can create links (i.e. shortened URLs) much like any other affiliate program. They can also create multiple URLs for an individual podcast to make it easier to track how well different channels are performing. The URLs can be posted on their own, tied to a “Listen on Apple Podcasts” badge, or can be made available as a QR code. The latter may make more sense when live events return, as it could be printed on signage or in flyers that were distributed during a live taping, for example. It also could be used in other sorts of advertising, including both print and digital. Though premium podcasts already existed, until more recently that often involved paying a podcaster directly to access a private RSS feed. Smaller services like Stitcher also used subscriptions to provide paying customers with a series of perks, like ad-free listening and exclusive content. The new efforts by both Apple and Spotify are focused on wooing creators to their platforms, where they’ll take a cut of the subscription revenues. Spotify is waiving its 5% fee for the first two years, while Apple is employing its usual model of 30% in year 1 that drops to 15% in year two. While people can begin to enroll in the new affiliate program starting today, paid podcasts aren’t actually launching until later this month, per Apple. When they do, those enrolled in the affiliate program will be able to create links and begin earning commissions on subscriptions. More thoughts on growing podcasts "
86,"Apple last month unveiled its plans for paid podcast subscriptions in a newly redesigned Apple Podcasts app. Now, it’s introducing a new program that will help podcast creators grow their subscriber base: affiliate marketing. The company’s “Apple Services Performance Partner Program,” which already exists to help market other Apple services like Apple TV, Apple News and Apple Books, is today expanding to include paid podcasts. The new program — “Apple Services Performance Partner Program for Apple Podcasts” (whew!) — will be open to anyone, though the company believes it will make the most sense for publishers and creators who already have an audience and a number of marketing channels where they can share these new affiliate links. When users convert by clicking through one of the links and subscribe to a premium podcast, the partner will receive a one-time commission at 50% of the podcast subscription price, after the subscriber accumulates their first month of paid service. So, for example, if a paid podcast was charging subscribers $5 per month, the commission would be $2.50. This commission would apply for every new subscriber that signed up through the affiliate channel, and there’s no cap. Podcast creators can also use the affiliate links to promote their own paid programs, which would allow them to generate incremental revenue. Apple unveils podcast subscriptions and a redesigned Apple Podcasts app  While anyone can apply to join the affiliate program, there is an approval process involved. This is mainly about keeping spammers out of the program, and ensuring that those signing up do have at least some marketing channels where they can distribute the links. The sign-up form asks for specific criteria — like how many channels are available and how the partner intends to use them to promote the affiliate links, among other things. The program will be made available to anyone in the 170 countries and regions where paid podcasts subscriptions are being made available. Once approved and signed in, affiliate partners will gain access to an online dashboard where they can create links (i.e. shortened URLs) much like any other affiliate program. They can also create multiple URLs for an individual podcast to make it easier to track how well different channels are performing. The URLs can be posted on their own, tied to a “Listen on Apple Podcasts” badge, or can be made available as a QR code. The latter may make more sense when live events return, as it could be printed on signage or in flyers that were distributed during a live taping, for example. It also could be used in other sorts of advertising, including both print and digital. Though premium podcasts already existed, until more recently that often involved paying a podcaster directly to access a private RSS feed. Smaller services like Stitcher also used subscriptions to provide paying customers with a series of perks, like ad-free listening and exclusive content. The new efforts by both Apple and Spotify are focused on wooing creators to their platforms, where they’ll take a cut of the subscription revenues. Spotify is waiving its 5% fee for the first two years, while Apple is employing its usual model of 30% in year 1 that drops to 15% in year two. While people can begin to enroll in the new affiliate program starting today, paid podcasts aren’t actually launching until later this month, per Apple. When they do, those enrolled in the affiliate program will be able to create links and begin earning commissions on subscriptions. More thoughts on growing podcasts "
87,"Snap wants users to get a more personal view of the world around them. While products like Google Maps and Apple Maps have long-relied on data partners to juice the quality of their contextual insights, Snap is hoping it can give users a more hands-on approach to mixing and matching third-party tie-ins to its Snap Map product, allowing users to build a view of their geographic surroundings tailored to their interests. The new product — announced today at the company’s Snap Partner Summit — is called Layers and it allows users to add data from some of Snap’s chosen developer partners directly to their map so they can see the world in a very particular view. “Layers are how the Map evolves from a singular product to a platform,” Snap’s Bryant Detwiller tells TechCrunch. “Ultimately, we just want our map to be more useful.” Snap Map has aimed to be a fundamentally social product, designed around people and friends rather than cars and directions. Layers will theoretically allow its users some customization in deciding which points-of-interest they want their map to be structured around. The company says that Snap Map has some 250 million monthly active users. Ticketmaster integration via Snap Ticketmaster integration via Snap Like Snap’s approach with its WeChat-like Minis and Games, it’s starting things off pretty slowly when it comes to partnerships. It has two out of the gate — a partnership with Ticketmaster and restaurant review site The Infatuation. With the Ticketmaster Layer, users will be able to sort through shows at nearby concert venues and can get transferred from the Layer directly to a new Ticketmaster Mini to buy tickets inside the Snapchat app. With The Infatuation, users can scan the map for editorialized recommendations for nearby restaurants with lists and reviews from the site. More of these partnerships on the way, though it doesn’t sound like Snap is planning to open the floodgates to developers anytime soon."
88,"Snap wants users to get a more personal view of the world around them. While products like Google Maps and Apple Maps have long-relied on data partners to juice the quality of their contextual insights, Snap is hoping it can give users a more hands-on approach to mixing and matching third-party tie-ins to its Snap Map product, allowing users to build a view of their geographic surroundings tailored to their interests. The new product — announced today at the company’s Snap Partner Summit — is called Layers and it allows users to add data from some of Snap’s chosen developer partners directly to their map so they can see the world in a very particular view. “Layers are how the Map evolves from a singular product to a platform,” Snap’s Bryant Detwiller tells TechCrunch. “Ultimately, we just want our map to be more useful.” Snap Map has aimed to be a fundamentally social product, designed around people and friends rather than cars and directions. Layers will theoretically allow its users some customization in deciding which points-of-interest they want their map to be structured around. The company says that Snap Map has some 250 million monthly active users. Ticketmaster integration via Snap Ticketmaster integration via Snap Like Snap’s approach with its WeChat-like Minis and Games, it’s starting things off pretty slowly when it comes to partnerships. It has two out of the gate — a partnership with Ticketmaster and restaurant review site The Infatuation. With the Ticketmaster Layer, users will be able to sort through shows at nearby concert venues and can get transferred from the Layer directly to a new Ticketmaster Mini to buy tickets inside the Snapchat app. With The Infatuation, users can scan the map for editorialized recommendations for nearby restaurants with lists and reviews from the site. More of these partnerships on the way, though it doesn’t sound like Snap is planning to open the floodgates to developers anytime soon."
89,"I am not a smart man. Earlier today I tweeted about $ASS, a cryptocurrency named after a dog. In this case, Australian Shepherds. And after doing that obviously stupid thing, my Twitter feed became chock-full of ass-related imagery, memes and $ASS coin stans breathing on me. It’s all very annoying as I run Tweetdeck on a work laptop which is now very, well, dicey a proposition given what I’m being sent. save me pic.twitter.com/CtmjcfeWdX — alex (@alex) May 20, 2021  $ASS is short for Australian Safe Shepherd, by the by. It’s a cryptocurrency that, much like Dogecoin, is a joke. A joke that its own website doesn’t take too seriously. For example, if you navigate to AssFinance, you will find a very detailed look at $ASS’s technical underpinnings, and plans for the future:  I found this hilarious. So I tweeted about it. And then everyone in the $ASS world began to assault my Twitter. Pro-tip: This is not a good way to get taken seriously. But as $ASS is not trying to be taken seriously, does that even matter? The coin is effectively a limpid pump, a cryptocurrency designed to get early adopters to spread the word about it, and then hold. It built its economics around just those goals:  But enough of all that. Why do we give a shit about $ASS? A few reasons: As a concept, $ASS fits neatly into my budding view that as current generations of people in their 20s and 30s are desperate for a firmer foothold on a middle-class life than today’s wage-weak, healthcare-deficient and labor-unfriendly economy is willing to provide, moon-shots on speculative bullshit have outsized appeal compared to other times in American history when it was easier to afford a house. And while it’s hard to be serious about a butt dog-themed bit of internet money, $ASS is, well, very 2021. And who are we to pretend to be better than covering a shitcoin? Even if only to mock it. Bloomberg has more on $ASS if you want a more serious take about an unserious project."
90,"Google has explored storefronts for a while now. Here’s a pop-up in Manhattan’s SoHo district that we took a trip to some four+ years back. But the company’s own branded retail experience has been fairly limited — unsurprising, given that it has always been a software company first. This summer, however, the company is joining a growing number of tech companies that will their own retail stores. The first Google Store is opening in New York City’s Chelsea neighborhood, in the former Port Authority building that also houses the company’s NY offices. The move follows in the footsteps of Apple and Samsung — both of whom have stores nearby (Amazon’s got its own book store, as well, but that’s further uptown near the Empire State Building). Like the competition, the shopping experience will center on Google hardware products first — that means things like Pixel phones and various Nest home devices. Google’s product offerings are still fairly limited compared to the likes of Apple and Samsung, though the recent closing of its Fitbit acquisition should go a ways toward offering a bit more variety in its brightly lit aisles. This year is a particularly weird time to open your first retail store. Google’s had a fair amount of retail space in Chelsea for a while now, but COVID-19 almost certainly put a damper on any plans to launch last year. Though, NYC has been pretty quick to vaccinate its massive population, with 41% of adults fully vaccinated as of earlier this month. 10 proptech investors see better era for residential and retail after pandemic  Still, Google is prioritizing safety here. Per a blog post: Masks, hand sanitation and social distancing will be required in the Google Store, and we’ll clean all spaces multiple times a day. The number of guests inside will be limited to ensure our customers feel safe during their shopping experience, and easy pickup options will also be available. We will continue to closely follow the guidance of the local and national authorities to adapt our health and safety procedures as needed. This sounds to be part of a bigger hardware push for the company, which has struggled of late — particularly in the mobile category. Google calls the first store, “an important next step in our hardware journey.” A trip to Google’s New York City Pop-Up Shop  "
91,"GPS is one of those science fiction technologies whose use is effortless for the end user and endlessly challenging for the engineers who design it. It’s now at the heart of modern life: everything from Amazon package deliveries to our cars and trucks to our walks through national parks are centered around a pin on a map that monitors us down to a few meters. Yet, GPS technology is decades old, and it’s going through a much-needed modernization. The U.S., Europe, China, Japan and others have been installing a new generation of GNSS satellites (GNSS is the generic name for GPS, which is the specific name for the U.S. system) that will offer stronger signals in what is known as the L5 band (1176 MHz). That means more accurate map pinpoints compared to the original generation L1 band satellites, particularly in areas where line-of-sight can be obscured, like urban areas. L5 was “designed to meet demanding requirements for safety-of-life transportation and other high-performance applications,” as the U.S. government describes it. It’s one thing to put satellites into orbit (that’s the easy part!), and another to build power-efficient chips that can scan for these signals and triangulate a coordinate (that’s the hard part!). So far, chipmakers have focused on creating hybrid chips that pull from the L1 and L5 bands simultaneously. For example, Broadcom recently announced the second-generation of its hybrid chip. OneNav has a totally different opinion on product design, and it placed it right in its name. Eschewing the hybrid chip model of mixing old signals with new, it wants one chip monitoring the singular band of L5 signals to drive cost and power savings for devices. One nav to rule them all, as it were. The company announced today that it has closed a $21 million Series B round led by Karim Faris at GV, which is solely funded by Alphabet. Other investors included Matthew Howard at Norwest and GSR Ventures, which invested in earlier rounds of the company. All together, OneNav has raised $33 million in capital and was founded about two years ago. CEO and co-founder Steve Poizner has been in the location business a long time. His previous company, SnapTrack, built out a GPS positioning technology for mobile devices that sold to Qualcomm for $1 billion in stock in March 2000, at the height of the dot-com bubble. His co-founder and CTO at OneNav, Paul McBurney, has similarly spent decades in the GNSS space, most recently at Apple, according to his LinkedIn profile. OneNav CEO and co-founder Steve Poizner, seen here in 2009. Image Credits: David McNew via Getty Images OneNav CEO and co-founder Steve Poizner, seen here in 2009. Image Credits: David McNew via Getty Images They saw an opportunity to build a new navigation company as L5 band satellites have switched on in recent years. As they looked at the market and the L5 tech, they decided they wanted to go further than other companies by eliminating the legacy tech of older GPS technology and moving entirely into the future. By doing that, its design is “half the size of the old system, but much higher reliability and performance,” Poizner said. “We are aiming to get location technology into a much broader number of products.” He differentiated between upgrading GPS from upgrading wireless signals. “With these L5 satellites, we don’t need the L1 satellites anymore [but] with 5G, you still need 4G,” he said. L5 band GPS does everything that earlier renditions did, but better, whereas with wireless technologies, they often need to complement each other to offer peak performance. There’s one caveat here: The L5 signal is still considered “pre-operational” by the U.S. government, since the U.S. GPS system only has 16 satellites broadcasting the signal today, and is targeting 24 satellites for full deployment by later in this decade. However, other countries have also deployed L5 GNSS satellites, which means that while it may not be fully operational from the U.S. government’s perspective, it may well be good enough for consumers. Micromobility’s next big business is software, not vehicles  OneNav’s goal according to Poizner is to be “the Arm of the GNSS space.” What he means is that like Arm, which produces the chip designs for nearly all mobile phones globally, OneNav creates comprehensive designs for L5 band GPS chips that can be integrated as a system-on-chip into the products of other manufacturers so that they can “embed a high-performance location engine based on their silicon.” The company today also announced that its first design customer will be In-Q-Tel, the U.S. intelligence community’s venture capital and business development organization. Poizner said that through In-Q-Tel, “we now have a development contract with a U.S. government agency.” The company is expecting that its customer evaluation units will be completed by the end of this year with the objective of potentially having OneNav’s technology in end-user devices by late 2022. Location tracking has become a major area of investment for venture capitalists, with companies working on a variety of technologies outside of GPS to offer additional detail and functionality where GPS falls short. Poizner sees these technologies as ultimately complementary to what he and his team are building at OneNav. “The better the GPS, the less pressure on these augmentation systems,” he said, while acknowledging that, “it is the case though that in certain environments [like downtown Manhattan or underground in a subway], you will never get the GPS to work.” For Poizner, it’s a bit of a return to entrepreneurship. Prior to starting OneNav, he had been heavily involved in California state politics. Several years after the sale of SnapTrack to Qualcomm, he unsuccessfully ran for a seat in the California State Assembly. He later was elected California’s insurance commissioner in 2007 under former Governor Arnold Schwarzenegger. He ran for governor in 2010, losing in the Republican primary against Meg Whitman, who made her name as the longtime head of eBay. He ran for his former seat of California insurance commissioner in 2018, this time as a political independent, but lost. OneNav is based in Palo Alto and currently has more than 30 employees."
92,"GPS is one of those science fiction technologies whose use is effortless for the end user and endlessly challenging for the engineers who design it. It’s now at the heart of modern life: everything from Amazon package deliveries to our cars and trucks to our walks through national parks are centered around a pin on a map that monitors us down to a few meters. Yet, GPS technology is decades old, and it’s going through a much-needed modernization. The U.S., Europe, China, Japan and others have been installing a new generation of GNSS satellites (GNSS is the generic name for GPS, which is the specific name for the U.S. system) that will offer stronger signals in what is known as the L5 band (1176 MHz). That means more accurate map pinpoints compared to the original generation L1 band satellites, particularly in areas where line-of-sight can be obscured, like urban areas. L5 was “designed to meet demanding requirements for safety-of-life transportation and other high-performance applications,” as the U.S. government describes it. It’s one thing to put satellites into orbit (that’s the easy part!), and another to build power-efficient chips that can scan for these signals and triangulate a coordinate (that’s the hard part!). So far, chipmakers have focused on creating hybrid chips that pull from the L1 and L5 bands simultaneously. For example, Broadcom recently announced the second-generation of its hybrid chip. OneNav has a totally different opinion on product design, and it placed it right in its name. Eschewing the hybrid chip model of mixing old signals with new, it wants one chip monitoring the singular band of L5 signals to drive cost and power savings for devices. One nav to rule them all, as it were. The company announced today that it has closed a $21 million Series B round led by Karim Faris at GV, which is solely funded by Alphabet. Other investors included Matthew Howard at Norwest and GSR Ventures, which invested in earlier rounds of the company. All together, OneNav has raised $33 million in capital and was founded about two years ago. CEO and co-founder Steve Poizner has been in the location business a long time. His previous company, SnapTrack, built out a GPS positioning technology for mobile devices that sold to Qualcomm for $1 billion in stock in March 2000, at the height of the dot-com bubble. His co-founder and CTO at OneNav, Paul McBurney, has similarly spent decades in the GNSS space, most recently at Apple, according to his LinkedIn profile. OneNav CEO and co-founder Steve Poizner, seen here in 2009. Image Credits: David McNew via Getty Images OneNav CEO and co-founder Steve Poizner, seen here in 2009. Image Credits: David McNew via Getty Images They saw an opportunity to build a new navigation company as L5 band satellites have switched on in recent years. As they looked at the market and the L5 tech, they decided they wanted to go further than other companies by eliminating the legacy tech of older GPS technology and moving entirely into the future. By doing that, its design is “half the size of the old system, but much higher reliability and performance,” Poizner said. “We are aiming to get location technology into a much broader number of products.” He differentiated between upgrading GPS from upgrading wireless signals. “With these L5 satellites, we don’t need the L1 satellites anymore [but] with 5G, you still need 4G,” he said. L5 band GPS does everything that earlier renditions did, but better, whereas with wireless technologies, they often need to complement each other to offer peak performance. There’s one caveat here: The L5 signal is still considered “pre-operational” by the U.S. government, since the U.S. GPS system only has 16 satellites broadcasting the signal today, and is targeting 24 satellites for full deployment by later in this decade. However, other countries have also deployed L5 GNSS satellites, which means that while it may not be fully operational from the U.S. government’s perspective, it may well be good enough for consumers. Micromobility’s next big business is software, not vehicles  OneNav’s goal according to Poizner is to be “the Arm of the GNSS space.” What he means is that like Arm, which produces the chip designs for nearly all mobile phones globally, OneNav creates comprehensive designs for L5 band GPS chips that can be integrated as a system-on-chip into the products of other manufacturers so that they can “embed a high-performance location engine based on their silicon.” The company today also announced that its first design customer will be In-Q-Tel, the U.S. intelligence community’s venture capital and business development organization. Poizner said that through In-Q-Tel, “we now have a development contract with a U.S. government agency.” The company is expecting that its customer evaluation units will be completed by the end of this year with the objective of potentially having OneNav’s technology in end-user devices by late 2022. Location tracking has become a major area of investment for venture capitalists, with companies working on a variety of technologies outside of GPS to offer additional detail and functionality where GPS falls short. Poizner sees these technologies as ultimately complementary to what he and his team are building at OneNav. “The better the GPS, the less pressure on these augmentation systems,” he said, while acknowledging that, “it is the case though that in certain environments [like downtown Manhattan or underground in a subway], you will never get the GPS to work.” For Poizner, it’s a bit of a return to entrepreneurship. Prior to starting OneNav, he had been heavily involved in California state politics. Several years after the sale of SnapTrack to Qualcomm, he unsuccessfully ran for a seat in the California State Assembly. He later was elected California’s insurance commissioner in 2007 under former Governor Arnold Schwarzenegger. He ran for governor in 2010, losing in the Republican primary against Meg Whitman, who made her name as the longtime head of eBay. He ran for his former seat of California insurance commissioner in 2018, this time as a political independent, but lost. OneNav is based in Palo Alto and currently has more than 30 employees."
93,"To get a roundup of TechCrunch’s biggest and most important stories delivered to your inbox every day at 3 p.m. PDT, subscribe here. Happy Wednesday, friends! It was another super-busy day in the tech world. I had my sights on Squarespace’s public debut, as well as the value of Coinbase’s stock, which may be tracking the price of bitcoin a bit more literally than some folks expected. And if you are a long-term crypto holder, congrats on the buying opportunity. If you are a short-term crypto holder, yes, you can have a drink now regardless of what time it is. — Alex From the TechCrunch Events side of things, Tess Hatch, a vice president and partner at Bessemer Venture Partners, is coming to Disrupt. Which is very hype. We’re shaking things up today and talking about product first and venture capital rounds second. Sound good? First up is Otter.ai’s new product: Otter Assistant. It can transcribe your Zoom calls. For reporters, this is huge as a note-taking tool. But it will likely find even broader remit in the business world. Don’t forget that Otter raised $50 million just a few months ago. (For more on the voice transcription space, check out Deepgram’s 2020-era funding round.) Second in the product category, Liquid Instruments has raised $13.7 million to bring its Moku:Go product to classrooms and labs everywhere. What does the Go do? It “combines several commonly used tools into one compact package, saving room on your workbench or classroom while also providing a modern, software-configurable interface,” TechCrunch reported. Moving onto some purely financial coverage from startup-land, here are four neat rounds we dug into more deeply: $20M for Assignar: Construction tech is a busy sector, not merely because the construction sector is itself rather active; the digital transformation push that we’ve seen around the business is also touching down in the world of mortar and bricks. Its software helps contractors and subcontractors “connect to the field and vice versa,” according to its CEO Sean McCreanor. $150M for Formlabs: 3D printing has come of age, it appears, as Massachusetts-based Formlabs closed a nine-figure round for its printing tech. SoftBank’s Vision Fund 2 led the round, which values the company at around $2 billion. $50M for Super: If you own a home, you are familiar with how rapidly entropy will ensure that you have a regular stream of repair bills. Why not convert those into a monthly subscription? That’s what Super is working to do, and now it has cash to pursue its vision after growing 7x since last April. $250M for Pipe: Pipe is a platform that allows companies to sell their future, predictable revenue streams to investors. It’s best known for working with SaaS companies, but is expanding into other business types as well. According to David Teten, founder of Versatile VC, five new strategies are gaining traction among fund managers looking to raise capital from family offices and high-net-worth individuals: In a summary of a class he taught for the Oper8r VC fund accelerator, Teten offers actionable advice for anyone who wants to connect with pre-qualified investors. 5 innovative fundraising methods for emerging VCs and PEs  (Extra Crunch is our membership program, which helps founders and startup teams get ahead. You can sign up here.) Image Credits: Getty Images Image Credits: Getty Images Extra Crunch is looking to founders for recommendations on email marketers to help us build a short list of top growth marketers in tech! If you’re a founder and have an email marketer you enjoyed working with, we want to hear from you! If you’re a growth marketer, please pass this along to your clients. Fill out the survey here. We’ll share great recommendations publicly so more startups can find the help they need. Find more details at techcrunch.com/experts. Today from the world of Big Tech, we’re pausing to listen to our own Editor in Chief Matthew Panzarino discuss the new iPad Pro, which he thinks has amazing hardware: But then there’s the software. Which Panzarino is not stoked about. It’s aging, he argues: The other side of this coin that isn’t so shiny is the iPad’s aging software. It’s just as good as it was when I wrote my review of the iPad Pro in 2020 — at which point my conclusions were “you can adapt to it but it could be better.” That was a year ago. As someone who has used it as my only portable machine for the last two and a half years, I can tell you that this is a very long time to wait for a big leap forward in capability. I have a very simple ask for the iPad’s software: I want to feel the same energy, vivacity and pure performance for the sake of peak performance that the hardware side exhibits. Apple has now come to the crossroad that Microsoft tried to meet with Windows 8 and failed; how do you build an OS that serves either two form factors (touch and mobile, and desktop) well, or two OSs that can share enough third-party software so that neither is neglected? We’ll know more at WWDC. Turns out nothing announced this week will get you to move over to Android from iOS. Fair enough. Now we ask … what do you think is going on with cryptocurrency? Have some thoughts to share? A story idea? Looking for a new gig? Come hang out with us on the Discord server."
94,"Tapping the tiny screen of the Apple Watch with precision has a certain level of fundamental difficulty, but for some people with disabilities it’s genuinely impossible. Apple has remedied this with a new mode called “Assistive Touch” that detects hand gestures to control a cursor and navigate that way. The feature was announced as part of a collection of accessibility-focused additions across its products, but Assistive Touch seems like the one most likely to make a splash across the company’s user base. It relies on the built-in gyroscope and accelerometer, as well as data from the heart rate sensor, to deduce the position of the wrist and hand. Don’t expect it to tell a peace sign from a metal sign just yet, but for now it detects “pinch” (touching the index finger to the thumb) and “clench” (make a loose fist), which can act as basic “next” and “confirm” actions. Incoming calls, for instance, can be quickly accepted with a clench. Designing with accessibility in mind: a conversation  Most impressive, however, is the motion pointer. You can activate it either by selecting it in the Assistive Touch menu, or by shaking your wrist vigorously. It then detects the position of your hand as you move it around, allowing you to “swipe” by letting the cursor linger at the edge of the screen, or interact with things using a pinch or clench. Needless to say this could be extremely helpful for anyone who only has the one hand available for interacting with the watch. And even for those who don’t strictly need it, the ability to keep one hand on the exercise machine, cane or whatever else while doing smartwatch things is surely an attractive possibility. (One wonders about the potential of this control method as a cursor for other platforms as well…) Image Credits: Apple Image Credits: Apple Assistive Touch is only one of many accessibility updates Apple shared in this news release; other advances for the company’s platforms include: It’s all clustered around Global Accessibility Awareness Day, which is tomorrow, May 20th. White House, dark mode: Biden admin refreshes presidency’s website, vows accessibility "
95,"Ampere, the server startup that is betting on bringing Arm-based chips to the data center and edge, is hosting its annual media day today. With the 80-core Altra and 128-core Altra Max, the company already offers a platform that can rival and outperform those of competitors like Intel and AMD in many common scenarios — and Altra Max is now in production and shipping. Those chips are based on the standard ARM Neoverse N1 architecture, though. But now, it is about to launch its own custom  Ampere Cores, built on a 5nm process. “Altra and Altra Max are based on the N1 core from Arm. We’re an architecture licensee as well as an IP licensee, so we’re going to talk about our own core [at our media day]: what we built, how we built it, why we built it,” Ampere CEO Renee James, who spent 26 years at Intel before founding Ampere, told me. “And what does a cloud-native processor look like? We like to think about it like you think about M1 for a PC from Apple, you would think about an Ampere Core for a cloud data center server.” With the 128-core Altra Max, Ampere promises a chip that uses 50% less power per core compared to an AMD Rome CPU and performance gains of 1.6x for running the NGINX web server, for example. And all of those benchmarks look even better when compared to an Intel Cascade Lake Refresh CPU. AMD’s Rome launched in August 2019 and Intel’s Cascade Lake Scalable Performance Refresh CPU have been in the market since last February. “It’s all about developing that CPU that’s built for the cloud and making sure that we’re meeting the new — but not really not new anymore — but kind of the current and future needs of cloud-native workloads, that software development model, and that type of infrastructure deployment model,” Ampere’s CPO Jeff Wittich said. “Which for us really means developing a product that has high performance that’s very predictable across workloads across users and a very, very scalable platform for compute, memory, I/O, network, and that is very, very power efficient.” Image Credits: Ampere Image Credits: Ampere Wittich noted that Ampere had always planned to develop its own cores, in part because it offers a very specific product for a very specific use case. “We knew that from the start developing our own cores was going to be very, very important for us to innovate in the ways that we need to innovate,” he said. “I have to say the primary thing is that because we’re focused on cloud — and we’re not focused on a bunch of other markets, especially not client, and also not other markets, even within the server space — it means developing a core that’s specific to cloud is really important to us.” Ampere’s cloud customers want certain built-in security features and manageability features for performance and power, for example. And as Wittich stressed, those have to be built in at the micro-architecture level to work properly (and this allows the company to optimize performance, as well). “We have to build our own cores to actually have a processor that does what the cloud wants,” he said. The Ampere Cores will, for example, feature high I/O memory bandwidth, for example, but optimized for cloud use cases, not high-performance computing use cases. Image Credits: Ampere Image Credits: Ampere James echoed this, noting that customers want these features and Ampere’s competitors will offer them. “The cloud business is pretty specific and the customers are very demanding,” she said. “So cadence is really important and we are competing against customers who have really very good products.” It seems like this strategy is working out well for Ampere, which now counts the likes of Microsoft, Oracle and Tencent Cloud among its customers. Rumor has it that Microsoft is working on its own Arm-based chips as well, but interestingly, the company is also using Ampere’s media day to talk about how it is readying Azure for Altra. 2021 will be a calmer year for semiconductors and chips (except for Intel) "
